CA	organ_age	Age_group
42.6	44.9	[42,45)
73.5	71.9	[72,75)
57.3	49.6	[57,60)
54.5	62.3	[54,57)
72	74.5	[72,75)
60.1	66.6	[60,63)
64.3	72.5	[63,66)
52.5	52.7	[51,54)
43.7	46.8	[42,45)
66.2	73.3	[66,69)
71.9	67.7	[69,72)
45.7	53.9	[45,48)
79.8	74.5	[78,81)
78.3	77.9	[78,81)
59	52	[57,60)
54.8	52.9	[54,57)
39.5	33.4	[39,42)
68.2	68.9	[66,69)
62.8	72.6	[60,63)
39.3	41.5	[39,42)
58.4	52.6	[57,60)
34	38.9	[33,36)
47.9	40	[45,48)
36	44.3	[36,39)
41.5	36.5	[39,42)
71.3	62.8	[69,72)
50.3	46	[48,51)
24	22	[24,27)
50.1	45.2	[48,51)
51.2	46.7	[51,54)
74.7	71.5	[72,75)
49.1	52	[48,51)
74	74.6	[72,75)
49.3	50.8	[48,51)
68.4	53.8	[66,69)
62	57	[60,63)
58.9	55.2	[57,60)
28.4	33.1	[27,30)
49.4	40.1	[48,51)
35.7	49	[33,36)
79.4	74	[78,81)
32.7	33.2	[30,33)
64.6	62.8	[63,66)
29.5	35.6	[27,30)
27.6	24.2	[27,30)
61.1	67.6	[60,63)
61.4	57.9	[60,63)
70.5	72	[69,72)
31.3	29.7	[30,33)
55.3	60.5	[54,57)
52.9	54.1	[51,54)
55.2	50.1	[54,57)
57.5	56.4	[57,60)
48.1	47.4	[48,51)
41.7	45.2	[39,42)
33.3	34.9	[33,36)
47.5	40.4	[45,48)
52.7	50.4	[51,54)
61.4	59.7	[60,63)
64.9	62.3	[63,66)
32.6	31.4	[30,33)
50.4	53.9	[48,51)
49.5	39.7	[48,51)
35.3	31.5	[33,36)
69.8	76.1	[69,72)
41.3	47.7	[39,42)
49	40.1	[48,51)
63.8	76.3	[63,66)
43	39.3	[42,45)
40.6	35.4	[39,42)
66	70.4	[66,69)
71	71.3	[69,72)
27.2	26.2	[27,30)
71.6	74.6	[69,72)
55.4	49.6	[54,57)
43.3	37.8	[42,45)
27.6	37.6	[27,30)
61.7	48	[60,63)
38.4	48.2	[36,39)
83.1	73.8	[81,84)
59	65.2	[57,60)
60.2	60.2	[60,63)
72.3	63.4	[72,75)
67.1	66.1	[66,69)
77.6	70	[75,78)
70.9	70.8	[69,72)
70.3	75.9	[69,72)
68.4	69.6	[66,69)
31.9	31.7	[30,33)
69.4	72.2	[69,72)
57.7	59.8	[57,60)
43.4	47.4	[42,45)
52.9	51.1	[51,54)
52.8	52.4	[51,54)
33.6	34.7	[33,36)
73	71	[72,75)
71.1	68.8	[69,72)
53.5	56.9	[51,54)
75	65.5	[75,78)
75.3	65.3	[75,78)
37	47.9	[36,39)
44.7	45.6	[42,45)
45.5	49.3	[45,48)
55.8	55.3	[54,57)
70.2	68	[69,72)
39.6	35.9	[39,42)
61.3	66	[60,63)
60.9	58.4	[60,63)
49	48.3	[48,51)
51.5	48.9	[51,54)
39.3	45.5	[39,42)
55	54.4	[54,57)
45.5	50.3	[45,48)
65.6	67.9	[63,66)
59.1	67.3	[57,60)
48.2	45	[48,51)
68	68.4	[66,69)
76.6	71.7	[75,78)
27.4	27.8	[27,30)
66.2	68.4	[66,69)
45.6	45.8	[45,48)
19.7	26.7	[18,21)
68.5	67.8	[66,69)
33.9	44.5	[33,36)
54.8	51.8	[54,57)
37.2	36.3	[36,39)
66.6	67.3	[66,69)
64.4	70.1	[63,66)
75.4	69.7	[75,78)
43.2	41.4	[42,45)
51.1	51.1	[51,54)
25.9	31.5	[24,27)
72.3	67.4	[72,75)
77.6	74.6	[75,78)
35.8	43.1	[33,36)
70.2	73.3	[69,72)
53	51.2	[51,54)
74.4	66.7	[72,75)
45.3	41.9	[45,48)
64.7	59.8	[63,66)
53.5	58.2	[51,54)
61.6	70.1	[60,63)
75.5	77.3	[75,78)
31.1	29.5	[30,33)
40.2	38.4	[39,42)
32.9	37.4	[30,33)
36.4	33	[36,39)
63.4	66	[63,66)
64.9	70.8	[63,66)
30.4	23.9	[30,33)
61.2	58.5	[60,63)
50.7	54.5	[48,51)
67.7	61.1	[66,69)
48.6	47.7	[48,51)
38.1	32.7	[36,39)
75.3	69.2	[75,78)
39.5	43.5	[39,42)
37.8	31.6	[36,39)
63.6	63.9	[63,66)
39.2	39.5	[39,42)
38.6	34.3	[36,39)
75.6	73.3	[75,78)
44.5	40	[42,45)
31	36.2	[30,33)
30	26.2	[30,33)
60	59.6	[60,63)
39.2	44.8	[39,42)
67	66.2	[66,69)
63.5	57.3	[63,66)
73.5	73.6	[72,75)
37.6	43.2	[36,39)
41.3	38.2	[39,42)
73.5	74	[72,75)
19.9	24.4	[18,21)
53.7	51.8	[51,54)
71.4	72.7	[69,72)
64.6	76	[63,66)
72.2	70.7	[72,75)
36.7	37.5	[36,39)
75.8	71.5	[75,78)
80	73.7	[78,81)
34.5	34.8	[33,36)
56.9	46.9	[54,57)
61.6	73.8	[60,63)
69.7	64.4	[69,72)
40.1	36.6	[39,42)
59.7	61.9	[57,60)
51.9	49.2	[51,54)
43.2	46.8	[42,45)
56.9	53.2	[54,57)
34.1	37	[33,36)
56.5	67	[54,57)
50.2	51.7	[48,51)
32.9	30.3	[30,33)
56.4	53.6	[54,57)
48	53.2	[48,51)
35.4	39.2	[33,36)
40.5	48.2	[39,42)
70.9	69	[69,72)
58.9	59.8	[57,60)
65	65.2	[63,66)
51.9	54.2	[51,54)
29.8	30.5	[27,30)
31.2	37	[30,33)
40.8	49.7	[39,42)
47.5	46.1	[45,48)
69.7	71.6	[69,72)
51.7	49.8	[51,54)
34.6	31.3	[33,36)
60.3	58.2	[60,63)
40.7	45	[39,42)
65.8	67.6	[63,66)
45.5	42.8	[45,48)
49.7	45.1	[48,51)
44	50.6	[42,45)
24.7	25.1	[24,27)
47.9	52.6	[45,48)
56.3	61.2	[54,57)
33.6	28.9	[33,36)
55.4	68.3	[54,57)
47.1	56.2	[45,48)
32	23.4	[30,33)
47.5	52.1	[45,48)
72	75	[72,75)
56.9	52	[54,57)
74.7	73.6	[72,75)
54.7	55.7	[54,57)
43.1	44.2	[42,45)
47.4	59.9	[45,48)
68.3	66.5	[66,69)
20.2	24.9	[18,21)
45.7	53.9	[45,48)
