CA	organ_age	Age_group
38.7	32.5	[36,39)
45.8	54.6	[45,48)
61.8	62.2	[60,63)
58.2	50.4	[57,60)
45.1	49.6	[45,48)
53.5	49	[51,54)
36.5	41.5	[36,39)
54.5	58.6	[54,57)
65.1	69.9	[63,66)
45.2	43.3	[45,48)
66.9	60.2	[66,69)
36.2	38.3	[36,39)
42.6	52.7	[42,45)
74.3	70.5	[72,75)
19.1	29.3	[18,21)
38.6	36.7	[36,39)
50.8	46.2	[48,51)
47	45.9	[45,48)
47	50.4	[45,48)
75.4	73.2	[75,78)
66.8	59.8	[66,69)
36.8	39.8	[36,39)
60.3	65.5	[60,63)
64.7	66	[63,66)
43.2	48.5	[42,45)
35.7	32.2	[33,36)
59	57.1	[57,60)
48.6	50.4	[48,51)
31.8	34.7	[30,33)
39.8	46.4	[39,42)
43.4	45.3	[42,45)
60.3	66.5	[60,63)
49.1	54.7	[48,51)
58.3	53.5	[57,60)
56.5	62.5	[54,57)
29	36	[27,30)
52.9	53.2	[51,54)
41.6	30.9	[39,42)
47.9	54.4	[45,48)
32.7	22.6	[30,33)
57	61.8	[57,60)
23.6	20.3	[21,24)
66.5	71.2	[66,69)
78.4	74.7	[78,81)
39.3	45.6	[39,42)
30.7	29.9	[30,33)
48.1	50.3	[48,51)
58.3	61.6	[57,60)
65.6	68.3	[63,66)
30.9	33.8	[30,33)
67.7	70.7	[66,69)
29.7	35.4	[27,30)
48.6	48.3	[48,51)
50.5	50.5	[48,51)
49.4	51.2	[48,51)
70.4	72.3	[69,72)
55	71	[54,57)
48.7	43.4	[48,51)
21.5	24.3	[21,24)
56.4	48.2	[54,57)
51.1	46.4	[51,54)
71.1	73.8	[69,72)
61.3	58.5	[60,63)
60.2	57.6	[60,63)
49.7	43.3	[48,51)
69.2	69.7	[69,72)
61.3	55.8	[60,63)
78.5	70.6	[78,81)
64	54.6	[63,66)
51.3	58.3	[51,54)
70.7	70.6	[69,72)
47.1	50.1	[45,48)
27.9	29.6	[27,30)
61.6	61.7	[60,63)
29	37.7	[27,30)
48.3	49.7	[48,51)
64.3	59.9	[63,66)
51.7	55.3	[51,54)
35.2	30.7	[33,36)
59.5	53.5	[57,60)
60.5	61.1	[60,63)
33.8	34.7	[33,36)
32.3	27.4	[30,33)
70.4	75.1	[69,72)
29	30.9	[27,30)
41.4	35.1	[39,42)
46.2	41.2	[45,48)
75.8	67.4	[75,78)
44.9	40.9	[42,45)
71.4	74.1	[69,72)
75.2	73.7	[75,78)
68.1	71.1	[66,69)
53.3	54.3	[51,54)
43	51.8	[42,45)
59	67.2	[57,60)
26.4	36.5	[24,27)
40.8	41.8	[39,42)
65.5	60.8	[63,66)
63.3	60.7	[63,66)
54.7	53.5	[54,57)
55.6	55.4	[54,57)
31.4	30.8	[30,33)
62	70	[60,63)
49.3	48.5	[48,51)
46.6	35.9	[45,48)
26.8	34.7	[24,27)
30	35	[30,33)
55.4	55.8	[54,57)
71.6	74	[69,72)
49.9	62.2	[48,51)
57.6	54.9	[57,60)
67.2	65.2	[66,69)
75.8	70.8	[75,78)
32.9	41.4	[30,33)
30.1	30.6	[30,33)
48.2	41.7	[48,51)
41.2	44.2	[39,42)
23.3	27.6	[21,24)
66.9	64	[66,69)
52.7	53	[51,54)
32.8	33.3	[30,33)
51.8	45.8	[51,54)
39.1	38.2	[39,42)
54.7	50.3	[54,57)
50.6	53.8	[48,51)
48.9	52.9	[48,51)
26.9	26.9	[24,27)
49.4	51.5	[48,51)
40	37.9	[39,42)
63.6	75.8	[63,66)
50.6	45	[48,51)
56.5	60.3	[54,57)
36.3	30.5	[36,39)
81.2	76.2	[81,84)
48.6	57	[48,51)
41.5	37.3	[39,42)
33.6	37.8	[33,36)
40.3	35.5	[39,42)
81.1	68	[81,84)
54.8	52.6	[54,57)
70.6	78	[69,72)
39.8	39.3	[39,42)
67.4	66.2	[66,69)
59.7	62.6	[57,60)
27.8	23.6	[27,30)
43.9	43.8	[42,45)
73.1	65.9	[72,75)
70.8	71	[69,72)
54.5	50.9	[54,57)
48.1	45.4	[48,51)
67.4	64.6	[66,69)
55.6	52.6	[54,57)
34.4	39.6	[33,36)
42.7	54.6	[42,45)
33.7	37.2	[33,36)
46.7	51.3	[45,48)
44	33.6	[42,45)
41.9	49	[39,42)
25	25.4	[24,27)
48.1	49.2	[48,51)
36	29.8	[36,39)
30.5	29.5	[30,33)
72.8	69.1	[72,75)
43.3	40.7	[42,45)
56	57.2	[54,57)
70.5	68.5	[69,72)
56.6	60	[54,57)
73.4	71.3	[72,75)
84.1	72.6	[84,87)
44.6	43.7	[42,45)
40.6	42.6	[39,42)
46.4	51.1	[45,48)
50.6	40.8	[48,51)
37.9	40.6	[36,39)
49	51.4	[48,51)
42	35.7	[42,45)
47.6	51.2	[45,48)
47.1	48	[45,48)
26.5	33.8	[24,27)
61.6	67.9	[60,63)
57.5	64.5	[57,60)
42.2	48.9	[42,45)
55	51.5	[54,57)
47.1	56.5	[45,48)
42.6	48.2	[42,45)
71.7	71.1	[69,72)
47.6	42.7	[45,48)
59.2	57.2	[57,60)
30.9	35.3	[30,33)
37.4	36.3	[36,39)
70.2	72.5	[69,72)
35	29.9	[33,36)
56.2	51.7	[54,57)
52.4	51.2	[51,54)
75.5	67.3	[75,78)
57	66.3	[57,60)
79.9	77.4	[78,81)
74	73.7	[72,75)
41.8	43.7	[39,42)
57.4	49.6	[57,60)
66.1	70.2	[66,69)
69.4	60.4	[69,72)
50.4	51.3	[48,51)
48.7	53	[48,51)
38.2	46.9	[36,39)
51.3	45.5	[51,54)
62.6	68.6	[60,63)
49.3	50.2	[48,51)
33.4	36.9	[33,36)
45.9	51.1	[45,48)
58.5	60.1	[57,60)
22.3	32.9	[21,24)
50.8	39.4	[48,51)
33.4	38.8	[33,36)
68.7	65.3	[66,69)
51.6	51.1	[51,54)
36.2	33.9	[36,39)
40	43.7	[39,42)
68.7	73.3	[66,69)
60.3	50	[60,63)
48.6	51.4	[48,51)
42	58.7	[42,45)
45.7	46.8	[45,48)
56.6	49.1	[54,57)
31.6	32.4	[30,33)
55.6	48.5	[54,57)
76.5	75	[75,78)
31.4	35.6	[30,33)
74	76.7	[72,75)
48.1	48.1	[48,51)
36	34.1	[36,39)
47.2	40.6	[45,48)
63.9	62.1	[63,66)
45.3	39.4	[45,48)
57.7	49	[57,60)
65.8	69.4	[63,66)
30.6	32.7	[30,33)
19.9	26.2	[18,21)
31.3	27.9	[30,33)
39.2	46.8	[39,42)
47.9	55.9	[45,48)
68.3	75.3	[66,69)
59.5	50.3	[57,60)
45.7	41.8	[45,48)
37.2	38.1	[36,39)
54.9	50.2	[54,57)
44.1	43.9	[42,45)
32.4	34.7	[30,33)
36.5	29.8	[36,39)
49.7	49.2	[48,51)
69.8	68.9	[69,72)
58.4	46.3	[57,60)
46.2	40.2	[45,48)
71.1	66.7	[69,72)
62.1	68.2	[60,63)
49.4	52.4	[48,51)
40.1	42.9	[39,42)
71.6	75.2	[69,72)
21.2	37.6	[21,24)
45.4	48.7	[45,48)
56.4	59.7	[54,57)
49.6	45.9	[48,51)
75.1	77.8	[75,78)
50	48.8	[48,51)
56.6	49.4	[54,57)
70.2	62.1	[69,72)
57	57.5	[57,60)
55.5	54.6	[54,57)
38.6	39.5	[36,39)
69.7	63.6	[69,72)
58.6	63.3	[57,60)
74.1	66.9	[72,75)
56.6	65.1	[54,57)
55.1	55.7	[54,57)
72.9	70.7	[72,75)
73.4	71	[72,75)
58.2	67.2	[57,60)
65.1	65.5	[63,66)
62.1	69.3	[60,63)
71.8	75.7	[69,72)
52.6	49.6	[51,54)
40.3	31.6	[39,42)
62.9	58.7	[60,63)
65.6	69.2	[63,66)
24.5	20.4	[24,27)
33.6	30.4	[33,36)
39	34.5	[39,42)
54	54	[54,57)
41.2	42.5	[39,42)
60.6	57	[60,63)
64.6	68	[63,66)
70	76.7	[69,72)
56.8	46.7	[54,57)
61.2	67.1	[60,63)
70.3	71.1	[69,72)
65.3	62.9	[63,66)
61.2	62.8	[60,63)
29.2	32.4	[27,30)
36.7	38.8	[36,39)
66.3	70.9	[66,69)
50.6	54.9	[48,51)
55.5	50.8	[54,57)
61.6	53.1	[60,63)
74	76.1	[72,75)
38.6	42.6	[36,39)
39.5	45.2	[39,42)
72.7	68	[72,75)
53.8	58.3	[51,54)
39	37.8	[39,42)
54.3	54.8	[54,57)
59.5	51	[57,60)
77.7	70	[75,78)
50	49.3	[48,51)
45.3	36.3	[45,48)
70.8	61.7	[69,72)
56.5	58.3	[54,57)
63	63.3	[63,66)
34.9	40.4	[33,36)
28.2	27.6	[27,30)
73.2	72.7	[72,75)
46.2	43.3	[45,48)
48.6	48.8	[48,51)
32.1	38.6	[30,33)
59.7	53.1	[57,60)
19.4	36	[18,21)
63.6	69	[63,66)
35.4	40.6	[33,36)
35.1	30.3	[33,36)
78.7	74.1	[78,81)
54.8	48.5	[54,57)
47.4	48.2	[45,48)
70.8	71.3	[69,72)
44.5	39.5	[42,45)
65.9	65.6	[63,66)
24.1	30	[24,27)
75.4	67.2	[75,78)
70.6	69.7	[69,72)
73	78.2	[72,75)
70.4	72.2	[69,72)
38.9	40.8	[36,39)
54.6	51.8	[54,57)
41.3	37.1	[39,42)
51.5	42.4	[51,54)
72.2	71.5	[72,75)
43.1	45.8	[42,45)
61.2	53.4	[60,63)
62.7	64	[60,63)
71.5	74.1	[69,72)
27.7	32.2	[27,30)
58.9	57.5	[57,60)
25.7	32.4	[24,27)
73.6	63.1	[72,75)
47.7	39.6	[45,48)
32.6	27.7	[30,33)
73.8	70	[72,75)
53.3	54.1	[51,54)
44	44.6	[42,45)
51.9	60.7	[51,54)
68.7	70.7	[66,69)
66	74.7	[66,69)
32.2	27.8	[30,33)
46.2	52.5	[45,48)
34.3	42.8	[33,36)
37.7	37.1	[36,39)
37.9	35.4	[36,39)
33.9	35.6	[33,36)
30.2	21.5	[30,33)
40.8	40.4	[39,42)
45.2	51	[45,48)
40.6	51	[39,42)
78.2	76.2	[78,81)
57.2	71.4	[57,60)
46.5	44.4	[45,48)
58.9	48.2	[57,60)
60.7	61.7	[60,63)
68.8	60.6	[66,69)
37.8	43.9	[36,39)
44.3	53.6	[42,45)
34.8	29.1	[33,36)
68.9	73.2	[66,69)
62.4	64.5	[60,63)
38.5	34.3	[36,39)
76.9	68.6	[75,78)
47.5	38.2	[45,48)
65.5	66.5	[63,66)
56.2	77.4	[54,57)
27.9	33.3	[27,30)
39.1	39.8	[39,42)
45.3	52.5	[45,48)
69.4	68.1	[69,72)
34.1	33.6	[33,36)
54.3	61	[54,57)
65.7	70.8	[63,66)
56.5	62.1	[54,57)
44.1	51.2	[42,45)
42.2	45.9	[42,45)
42.9	41.3	[42,45)
35.4	31.9	[33,36)
60.1	53.6	[60,63)
60	72.7	[60,63)
49.3	54.4	[48,51)
44.6	39.7	[42,45)
46.4	47.4	[45,48)
62.1	61.8	[60,63)
50.7	51.4	[48,51)
34.4	34.4	[33,36)
62.7	64.6	[60,63)
65.6	75.5	[63,66)
74	69.6	[72,75)
25	24.8	[24,27)
62.6	64.2	[60,63)
44.8	53	[42,45)
51.8	44.6	[51,54)
45.2	44.8	[45,48)
51.3	54.2	[51,54)
72.1	71.8	[72,75)
38.8	51.3	[36,39)
40.5	41.7	[39,42)
57.2	48.9	[57,60)
42.6	46.9	[42,45)
35.6	41	[33,36)
19.6	26.5	[18,21)
54.7	54.9	[54,57)
41.3	49.2	[39,42)
55.6	56.7	[54,57)
45.3	46.2	[45,48)
21.7	31.8	[21,24)
68	66.6	[66,69)
33	34	[33,36)
59.6	45.7	[57,60)
40.9	38.3	[39,42)
35.4	29.4	[33,36)
65.2	67.5	[63,66)
46.6	47	[45,48)
29.5	30.8	[27,30)
40.9	39.4	[39,42)
60	54.4	[60,63)
59	52.9	[57,60)
50.9	55.1	[48,51)
47.8	46.9	[45,48)
32.1	31.6	[30,33)
29.8	27.5	[27,30)
56.5	63.7	[54,57)
29.9	31.4	[27,30)
73.3	70.7	[72,75)
65.8	74.9	[63,66)
65.4	71.3	[63,66)
53.1	48.1	[51,54)
51.6	64.4	[51,54)
37.4	43.3	[36,39)
46.3	45.8	[45,48)
48.9	50.9	[48,51)
54.3	55.4	[54,57)
34.4	34.9	[33,36)
67.7	70	[66,69)
83.4	67.7	[81,84)
67.1	71.2	[66,69)
65	62.2	[63,66)
51.1	52.9	[51,54)
71.7	74	[69,72)
33.1	40.6	[33,36)
54.3	65.2	[54,57)
67.2	67.5	[66,69)
55	51.9	[54,57)
47.3	45.9	[45,48)
51.2	48.4	[51,54)
60.6	63.2	[60,63)
63.2	74	[63,66)
41.6	44	[39,42)
65	50	[63,66)
50.8	45.5	[48,51)
54.9	52.8	[54,57)
55.8	58.9	[54,57)
33.6	42	[33,36)
71.8	71.6	[69,72)
62.1	57.2	[60,63)
50.6	47.7	[48,51)
53.4	49.3	[51,54)
68.7	64	[66,69)
77.3	70.4	[75,78)
71.3	73.7	[69,72)
57.8	59.1	[57,60)
55	53.4	[54,57)
51.7	48.6	[51,54)
65.7	68.7	[63,66)
74.1	70.6	[72,75)
58.8	61.3	[57,60)
40.7	40.8	[39,42)
78.5	73.5	[78,81)
74.4	65.4	[72,75)
71.7	75	[69,72)
52.3	41.1	[51,54)
64.2	70.1	[63,66)
41.8	44.1	[39,42)
61.1	67.4	[60,63)
55.6	57.4	[54,57)
66.9	76.2	[66,69)
28.8	26.3	[27,30)
38.8	35.5	[36,39)
43	38.2	[42,45)
61.5	63.2	[60,63)
58.9	68.5	[57,60)
56.6	55.2	[54,57)
39.1	45.3	[39,42)
32.2	30.4	[30,33)
45.1	42.4	[45,48)
