CA	organ_age	Age_group
65.4	73	[63,66)
38.9	43.4	[36,39)
70.5	73.5	[69,72)
57.6	52	[57,60)
39.6	41.3	[39,42)
64.3	63.4	[63,66)
58	51	[57,60)
47.2	47.1	[45,48)
67.5	64.7	[66,69)
45	47.8	[45,48)
51.9	55.8	[51,54)
66.5	64	[66,69)
68.4	74.4	[66,69)
42.2	45.1	[42,45)
33.1	30.4	[33,36)
31.7	41.9	[30,33)
65.5	72.1	[63,66)
56.3	58.4	[54,57)
48.7	58.3	[48,51)
42.4	47.7	[42,45)
45.9	43.7	[45,48)
20.2	29	[18,21)
35.5	35.9	[33,36)
57.4	48.7	[57,60)
74.1	66	[72,75)
46.8	44.3	[45,48)
57.8	67.5	[57,60)
53.5	55.5	[51,54)
36.3	38.9	[36,39)
43.4	45.1	[42,45)
59.5	58.7	[57,60)
68.2	70.7	[66,69)
47.8	46.4	[45,48)
57.4	51.9	[57,60)
30.1	38.2	[30,33)
44.1	42.7	[42,45)
55.7	53.1	[54,57)
68	67.1	[66,69)
66	71.4	[66,69)
52.2	47	[51,54)
36	32	[36,39)
72.5	71.9	[72,75)
45.4	39.6	[45,48)
66.3	65.5	[66,69)
52.4	46.2	[51,54)
62	66.3	[60,63)
49.8	49.2	[48,51)
44.2	45.4	[42,45)
45.6	37.4	[45,48)
78	72.5	[78,81)
35.9	43.1	[33,36)
36.7	31	[36,39)
50.5	52.1	[48,51)
53.8	61.4	[51,54)
47.9	43.8	[45,48)
37	40.3	[36,39)
58.6	67.2	[57,60)
49.3	53	[48,51)
62.2	76.9	[60,63)
74.1	73.7	[72,75)
33.3	37.7	[33,36)
26.9	28.6	[24,27)
52.9	53.2	[51,54)
44.3	55.9	[42,45)
34.3	33	[33,36)
45.2	44.1	[45,48)
49	52.5	[48,51)
73.7	75.9	[72,75)
45.9	51.3	[45,48)
48.9	51.8	[48,51)
60.1	51.7	[60,63)
58.2	63.7	[57,60)
70.3	66.8	[69,72)
31.2	31.7	[30,33)
51.4	56	[51,54)
36.2	35.1	[36,39)
27.1	27.8	[27,30)
29.2	29.3	[27,30)
37.9	55.6	[36,39)
33.4	34.1	[33,36)
52.7	52.1	[51,54)
56.6	66	[54,57)
57.9	69.1	[57,60)
47.3	35	[45,48)
55.3	57.1	[54,57)
65.9	70.7	[63,66)
50.2	49.7	[48,51)
43.9	51.9	[42,45)
48.8	58.4	[48,51)
50.4	55.2	[48,51)
29.1	34.3	[27,30)
74	72.4	[72,75)
37.9	38.7	[36,39)
57.4	59	[57,60)
63.5	68.3	[63,66)
47.5	53.1	[45,48)
58.5	53.8	[57,60)
66.5	64.8	[66,69)
42.4	38.6	[42,45)
48.4	46.7	[48,51)
38.8	45.9	[36,39)
74.6	71.1	[72,75)
52	45.9	[51,54)
36.5	40.3	[36,39)
43.5	44.1	[42,45)
75.6	75.2	[75,78)
50.5	51	[48,51)
55.9	60.3	[54,57)
43.8	47.3	[42,45)
40.5	37.8	[39,42)
50.5	45.9	[48,51)
64.7	64.5	[63,66)
62.8	67.1	[60,63)
50.3	45.7	[48,51)
46.4	45.8	[45,48)
42.3	35.1	[42,45)
76.8	71.3	[75,78)
29.1	30.4	[27,30)
66.3	63.9	[66,69)
45.3	39	[45,48)
66.1	63.5	[66,69)
30.4	34.8	[30,33)
58.2	51.9	[57,60)
32.8	29.4	[30,33)
28.4	38	[27,30)
45.8	46.7	[45,48)
66.4	65.3	[66,69)
41.6	36.6	[39,42)
50.6	54.9	[48,51)
53.8	49.1	[51,54)
40.5	40.8	[39,42)
39.6	36.7	[39,42)
62.8	70.7	[60,63)
59.2	51.3	[57,60)
47.2	46.1	[45,48)
37.4	40.6	[36,39)
29.5	32.1	[27,30)
25	28.3	[24,27)
73.4	72	[72,75)
67.7	59.2	[66,69)
31.5	27	[30,33)
62.5	68	[60,63)
74.9	73.7	[72,75)
37.2	39.4	[36,39)
49.4	54.1	[48,51)
52.2	50.6	[51,54)
34.3	33.7	[33,36)
40.8	37.1	[39,42)
48	49.1	[48,51)
56.8	53.5	[54,57)
25.6	26.6	[24,27)
77.2	72.6	[75,78)
31.1	41	[30,33)
28.5	28.8	[27,30)
76.7	66.2	[75,78)
72.4	68.9	[72,75)
60.2	49.6	[60,63)
36.1	38.8	[36,39)
52.3	51.6	[51,54)
44.8	46.1	[42,45)
75.2	72.9	[75,78)
68.5	72.9	[66,69)
64.3	70.8	[63,66)
51	47.2	[51,54)
65.8	69.5	[63,66)
72.8	66.8	[72,75)
57.4	72.4	[57,60)
27.7	24.2	[27,30)
36.1	32.5	[36,39)
67.5	59	[66,69)
64.8	67.9	[63,66)
72.7	71.3	[72,75)
58.3	56.3	[57,60)
56.4	63.2	[54,57)
26.6	30.8	[24,27)
44.4	38.3	[42,45)
34.7	43.2	[33,36)
31.6	31.2	[30,33)
62.5	62.7	[60,63)
32.7	35.2	[30,33)
77.4	70	[75,78)
57.9	48.1	[57,60)
37.9	37.4	[36,39)
25.8	33.2	[24,27)
63.9	71.7	[63,66)
61.1	60.6	[60,63)
72.4	66.5	[72,75)
35.2	36.2	[33,36)
52.8	49.4	[51,54)
37.6	43.1	[36,39)
79.2	67.3	[78,81)
62.3	65.3	[60,63)
61.7	71.6	[60,63)
60.6	49.9	[60,63)
67.5	76.8	[66,69)
56.2	68.5	[54,57)
41.7	46.8	[39,42)
62.8	66.5	[60,63)
68.2	71.9	[66,69)
49.9	49.8	[48,51)
48.9	47.5	[48,51)
