CA	organ_age	Age_group
28.3	29.7	[27,30)
51.3	47.8	[51,54)
37.8	40.8	[36,39)
74.7	76.7	[72,75)
73.8	72.1	[72,75)
31.7	38.3	[30,33)
51.5	53.1	[51,54)
35.1	35.3	[33,36)
54.9	66	[54,57)
42.9	53.8	[42,45)
45.6	44.3	[45,48)
49.1	48.1	[48,51)
47.4	41.4	[45,48)
76.5	72	[75,78)
44.6	50.6	[42,45)
59.4	50.3	[57,60)
51.7	50.1	[51,54)
60.2	60.5	[60,63)
67.9	68.5	[66,69)
53.7	60.1	[51,54)
68	69.5	[66,69)
56.6	47.3	[54,57)
62.3	68.3	[60,63)
60.5	59.3	[60,63)
41.8	54.7	[39,42)
71.1	68.2	[69,72)
64.4	53.2	[63,66)
43.4	41	[42,45)
51.3	49.6	[51,54)
56.2	62.9	[54,57)
52.8	49.5	[51,54)
37.8	38.3	[36,39)
54.5	62.7	[54,57)
40.2	46	[39,42)
68.1	71.7	[66,69)
52.7	52.3	[51,54)
63.3	71.1	[63,66)
50.4	41.9	[48,51)
51.6	48.7	[51,54)
50.3	44.1	[48,51)
25.1	28.4	[24,27)
36.9	33.2	[36,39)
28.2	30.4	[27,30)
41.4	37.6	[39,42)
54.1	50.4	[54,57)
62.3	56.2	[60,63)
53.5	51.3	[51,54)
50.8	56.3	[48,51)
51.9	45.6	[51,54)
56.1	61.7	[54,57)
35.4	28.3	[33,36)
37.1	53.3	[36,39)
50.8	53	[48,51)
65.8	52.3	[63,66)
48.7	53.4	[48,51)
51.1	54.1	[51,54)
58.8	50.4	[57,60)
27.9	23.3	[27,30)
61.2	59.9	[60,63)
44.3	33.9	[42,45)
43.9	44	[42,45)
26.7	32.1	[24,27)
48.2	49.1	[48,51)
60.4	50.3	[60,63)
52.7	63.3	[51,54)
41.8	45.6	[39,42)
68.4	68.5	[66,69)
22.6	23.1	[21,24)
53.9	49.4	[51,54)
69.5	69.4	[69,72)
35.2	39.1	[33,36)
51.8	52.1	[51,54)
60.8	54.5	[60,63)
65	68.1	[63,66)
41.1	34	[39,42)
24	17.9	[24,27)
74.4	68.5	[72,75)
46.7	52.1	[45,48)
62.5	71.9	[60,63)
57.8	52.3	[57,60)
60.1	69.6	[60,63)
65.4	67.8	[63,66)
66.2	71.4	[66,69)
73.7	66.9	[72,75)
66.7	74.7	[66,69)
58.1	55.1	[57,60)
71.2	72.2	[69,72)
46.3	50.4	[45,48)
34.9	28.8	[33,36)
47.1	55.2	[45,48)
35.9	32.7	[33,36)
57.4	46.9	[57,60)
77.4	75.6	[75,78)
51.2	53.1	[51,54)
45.7	45	[45,48)
53.7	60.6	[51,54)
50.5	41	[48,51)
