CA	organ_age	Age_group
38	42.1	[36,39)
66	65	[66,69)
60	65.4	[60,63)
48.5	49	[48,51)
35.9	40.7	[33,36)
34.1	38.8	[33,36)
44.3	48	[42,45)
48.8	53.7	[48,51)
49.9	56.4	[48,51)
58.6	51.3	[57,60)
53.7	57.6	[51,54)
32.9	26.6	[30,33)
37.3	37.5	[36,39)
52.2	55.4	[51,54)
34	32.8	[33,36)
57.1	55.1	[57,60)
49.9	54.1	[48,51)
50.6	46.1	[48,51)
61.9	65.5	[60,63)
50.6	44.3	[48,51)
65.9	72.2	[63,66)
49.4	44.5	[48,51)
59.8	59.4	[57,60)
53	47.5	[51,54)
60.5	56.4	[60,63)
54.9	50.9	[54,57)
41.7	42.8	[39,42)
70.9	72.7	[69,72)
33.3	36.9	[33,36)
50	51.2	[48,51)
38.6	34	[36,39)
54.7	51.8	[54,57)
68.8	75.2	[66,69)
49.5	53.1	[48,51)
67.1	70.1	[66,69)
61.1	69.7	[60,63)
65.2	72.1	[63,66)
32.8	28.7	[30,33)
78.3	69.7	[78,81)
80.1	74.4	[78,81)
54	56.5	[54,57)
64.7	61.7	[63,66)
26.3	36.5	[24,27)
41.1	48.3	[39,42)
56.2	48.1	[54,57)
42.7	32.8	[42,45)
31.9	39	[30,33)
73.7	72.1	[72,75)
58	62.1	[57,60)
74.5	74.3	[72,75)
52.8	55.4	[51,54)
67.1	59	[66,69)
49.6	53.1	[48,51)
62.3	69.5	[60,63)
43.4	36.4	[42,45)
26.2	31.9	[24,27)
73.4	72.4	[72,75)
72.3	67.2	[72,75)
46.5	47.7	[45,48)
53.9	47.9	[51,54)
63	62.7	[63,66)
62.6	72	[60,63)
43.2	42.2	[42,45)
42.6	34.9	[42,45)
41.4	30.7	[39,42)
28.6	26	[27,30)
46.8	55.8	[45,48)
55.5	56.5	[54,57)
39.9	48.7	[39,42)
69	70.9	[69,72)
68.2	70.4	[66,69)
67.3	67.1	[66,69)
38.6	41.4	[36,39)
48.5	50.8	[48,51)
32.2	35.5	[30,33)
72.5	71.9	[72,75)
44.5	48.6	[42,45)
37.3	42.4	[36,39)
70	75.2	[69,72)
49.7	49	[48,51)
72.3	68.9	[72,75)
73	72.9	[72,75)
69.6	67.1	[69,72)
69.9	65.4	[69,72)
47.3	47.2	[45,48)
55.4	50.4	[54,57)
72.5	70.1	[72,75)
36.4	32.7	[36,39)
46.5	49.9	[45,48)
33.8	31	[33,36)
50.8	48.1	[48,51)
52.1	53.4	[51,54)
61.9	58.4	[60,63)
57.6	56.3	[57,60)
68.7	75.2	[66,69)
71.1	74.6	[69,72)
36	28.9	[36,39)
42	46.5	[42,45)
26.6	29.1	[24,27)
37.2	38.7	[36,39)
43.1	42.4	[42,45)
74.8	77.8	[72,75)
69.1	60.5	[69,72)
65.3	71.3	[63,66)
64.1	64.7	[63,66)
28.9	25.7	[27,30)
75.4	69.9	[75,78)
43.6	47	[42,45)
47.9	50.5	[45,48)
51.5	45.7	[51,54)
73.3	72.2	[72,75)
