CA	organ_age	Age_group
55.7	57.7	[54,57)
44.2	42	[42,45)
21.6	29.5	[21,24)
35.1	34	[33,36)
35	37	[33,36)
43.7	48.5	[42,45)
28.9	33.6	[27,30)
50.2	52.3	[48,51)
41.1	41.6	[39,42)
38.7	27.4	[36,39)
73.3	72.8	[72,75)
55.8	52.3	[54,57)
57.8	49.1	[57,60)
55.6	46.1	[54,57)
37	32.3	[36,39)
67.5	73.7	[66,69)
68.4	77.8	[66,69)
75.6	71.1	[75,78)
40.6	43.2	[39,42)
51.1	48.6	[51,54)
71	70.7	[69,72)
48.9	48.2	[48,51)
46.2	35.2	[45,48)
41.7	41.3	[39,42)
69.9	70.4	[69,72)
44.5	44	[42,45)
43.2	51.4	[42,45)
33.5	37.4	[33,36)
37.4	36	[36,39)
50	41.3	[48,51)
45.1	49.1	[45,48)
59	53.8	[57,60)
45.7	36.7	[45,48)
67.6	78.5	[66,69)
57.5	66.4	[57,60)
25.3	27.9	[24,27)
40.7	41.7	[39,42)
46.3	49.5	[45,48)
54.7	47.7	[54,57)
66.3	66.9	[66,69)
53	65.3	[51,54)
56.2	50.5	[54,57)
49.6	58.1	[48,51)
50.7	50.4	[48,51)
56.2	56.1	[54,57)
49.1	51.2	[48,51)
77.9	69.4	[75,78)
70.3	70.3	[69,72)
35.1	39.9	[33,36)
53.1	54.3	[51,54)
48	52.8	[48,51)
33.6	33	[33,36)
42.8	38.8	[42,45)
31.3	34.7	[30,33)
49.5	49.3	[48,51)
37.9	42.9	[36,39)
35.7	39.4	[33,36)
65.4	61.1	[63,66)
50.7	54	[48,51)
67.8	75.7	[66,69)
52.3	47.9	[51,54)
67.6	65.9	[66,69)
50.1	50.1	[48,51)
55.4	50.2	[54,57)
46	42.6	[45,48)
74.7	70.4	[72,75)
60.6	55.9	[60,63)
68.3	47.8	[66,69)
65.9	64.7	[63,66)
49.4	50.4	[48,51)
42	40.7	[42,45)
32.4	24	[30,33)
61.6	66.2	[60,63)
25.4	34.6	[24,27)
46.4	46.4	[45,48)
64.3	65.8	[63,66)
41.4	42.5	[39,42)
34.2	37.5	[33,36)
69.4	74.7	[69,72)
75.9	70.2	[75,78)
33	28.7	[33,36)
71.6	75.7	[69,72)
60.2	67.6	[60,63)
71.1	70.6	[69,72)
54.6	61.5	[54,57)
33.9	33.6	[33,36)
28.5	32.4	[27,30)
71.3	70.2	[69,72)
30.2	32.4	[30,33)
46.6	48.9	[45,48)
58.7	56	[57,60)
70.7	73.6	[69,72)
36.7	42.4	[36,39)
55.2	58.6	[54,57)
66.6	70.7	[66,69)
34.4	38.3	[33,36)
52.9	53.2	[51,54)
78.3	68.9	[78,81)
58.5	52.5	[57,60)
64.4	59.5	[63,66)
70	76.4	[69,72)
77.5	76.1	[75,78)
56.4	49.6	[54,57)
54.7	49.7	[54,57)
44.2	41	[42,45)
60.9	55.7	[60,63)
44.3	41.8	[42,45)
40.9	51.6	[39,42)
30.6	35.2	[30,33)
52.1	53.2	[51,54)
68.1	67.6	[66,69)
41.2	36.1	[39,42)
48.1	46.8	[48,51)
60	57.3	[60,63)
26.4	21.6	[24,27)
44.1	54.7	[42,45)
49.7	50.1	[48,51)
57.8	50.7	[57,60)
57.5	43.7	[57,60)
36.1	34.9	[36,39)
54.3	55.5	[54,57)
57.9	49.5	[57,60)
65.5	69.4	[63,66)
49	53	[48,51)
45.9	44.1	[45,48)
52.8	51.4	[51,54)
47.4	49.2	[45,48)
61.3	53.3	[60,63)
69.3	76.5	[69,72)
33.1	45.6	[33,36)
45	55	[45,48)
24.1	30	[24,27)
42.3	53.2	[42,45)
52.5	53.4	[51,54)
43.6	43.2	[42,45)
51.2	47	[51,54)
46.3	50	[45,48)
44.7	52.9	[42,45)
36.8	37.6	[36,39)
49.6	46.2	[48,51)
53.6	56.9	[51,54)
69.6	67.2	[69,72)
44.2	40.9	[42,45)
73.6	75.6	[72,75)
41.1	37.4	[39,42)
58.9	46.3	[57,60)
78.4	70.5	[78,81)
52.1	50	[51,54)
27.9	32.7	[27,30)
53.5	47.5	[51,54)
44.2	51.7	[42,45)
65.5	72.2	[63,66)
32.4	32.3	[30,33)
59.1	49.3	[57,60)
50.7	52.4	[48,51)
63.7	58.7	[63,66)
57.3	56.1	[57,60)
23.7	27.9	[21,24)
65.7	70.7	[63,66)
51.1	48.9	[51,54)
27.3	27.9	[27,30)
51.8	46.4	[51,54)
45	48.7	[45,48)
50.7	46.7	[48,51)
58.6	47.2	[57,60)
51.6	50.1	[51,54)
62.3	68.5	[60,63)
69.5	70.3	[69,72)
25.6	25.5	[24,27)
45.8	39.5	[45,48)
30.6	29.2	[30,33)
44.8	40.9	[42,45)
51.6	53.3	[51,54)
32.6	39.6	[30,33)
46	46.6	[45,48)
45.6	47.8	[45,48)
57.4	58.8	[57,60)
74	71.2	[72,75)
66.5	74.5	[66,69)
37.8	38.7	[36,39)
50	45.1	[48,51)
63.7	65.4	[63,66)
47.3	42.5	[45,48)
45.2	49.7	[45,48)
53.4	70.7	[51,54)
63.4	73.6	[63,66)
22.4	30.8	[21,24)
59.2	52.6	[57,60)
